"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"E2F7",686.948940562299,-0.744990275559232,0.2068366984329,-3.60182830805006,0.000315987038456673,0.00860219268092477
"E2F8",320.037297174295,-0.48359506570433,0.1759441918317,-2.7485707863941,0.00598557089592164,0.0525316830329008
"E2F5",94.1936588815962,-0.684063611722451,0.271974243701208,-2.51517791689851,0.0118972327992771,0.0797737914987516
"E2F2",424.487619146987,-0.360607477448747,0.176135353709951,-2.04733161090745,0.0406255361802322,0.169154316242393
"E2F6",344.473652809852,-0.130443428519169,0.10183402805096,-1.28094145950794,0.200214228910171,0.430319767620052
"E2F4",2030.36581129097,-0.132254078574845,0.110066101977702,-1.20158773862672,0.229523294360296,0.468356741096387
"E2F1",515.654111933324,-0.183867607069886,0.170523292959154,-1.0782550810459,0.28091993701944,0.526698349628365
"E2F3",616.62266631453,0.00528269322724314,0.138298793912636,0.0381976811061726,0.969530069757531,0.985533777656699
