Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.IG.A8O2	0.0020690135973088	0	0.0037290735253871	0.105507169674396	0	0.117423775446547	0	0.2032663768841	0.0897273257555489	0	0.128877899485835	0.00494641250334354	0.0662061144525297	0.0477948757331836	0.0183070649873984	0.05824534706283	0.0158007590337142	0.00345272950796272	0.134646062349915	0	0	0	9999	0.0809863183512841	1.06913166803427
TCGA.IG.A97H	0	0.00629556752145158	0	0	0	0.127289469991596	0	0.0305421359348041	0.000870166539512061	0	0	0.0600459449705028	0	0.371645004972433	0	0.152006187161775	0	0.0585604954639583	0	0.190701282341352	0	0.00204374510261508	9999	0.24751470202001	1.02410487983311
TCGA.IG.A97I	0	0	0.000796107023947957	0.0136369478886081	0	0.062387930235458	0	0.129103361370368	0	0	0	0.0718666235045711	0	0.53018008106613	0.0683757774157023	0.0796331793803301	0	0.014063504552091	0	0.0299564875627929	0	0	9999	0.53884608459431	0.847407485079214
TCGA.JY.A6F8	0.0011858668221833	0.0044852803080889	0	0	0	0.300497012867757	0	0.0211320016782339	0.125272184464343	0	0.0399906501958179	0.0523614150016032	0.0678067654043367	0.0170746944006768	0	0.0234063634761359	0	0.0529126292864114	0	0.291415200294943	0	0.00245993579946787	9999	0.0670054436730484	1.08738678072919
TCGA.JY.A6FA	0.0837002987728431	0	0.109380334388934	0.0234309799592925	0	0.161199398313051	0	0.10216644623392	0.0330965546123259	0	0.0439900068083395	0	0.0089275148761052	0.093548829229615	0	0.096238621547054	0.00816706038396306	0.121133420368512	0	0.105952756357882	0	0.00906777814816294	9999	-0.0358879751699337	1.09074148754213
TCGA.JY.A6FB	0.00356498650699209	0	0.0018906505564363	0	0	0.385344458997471	0	0	0.0394059675920745	0	0.0121240987425614	0.0402431583114056	0.0311577831073693	0.134258726696946	0	0.130339305271355	0	0.0695118014904166	0	0.152159062726971	0	0	9999	0.020284424203279	1.09327554182345
TCGA.JY.A6FD	0.00796321812228534	0	0.0288435434060207	0	0	0.379301991841652	0	0.0384463180791414	0.00201268435234787	0	0.0628594682189219	0.0454477290084057	0.0488895912239019	0.00901726291367647	0.165651896160366	0.0246731940041626	0.00789163408991389	0.0175298224315413	0	0.161471646147663	0	0	9999	0.11620563815713	1.06150936976891
TCGA.JY.A6FE	0.00115363897429266	0.00291547263668101	0	0.0735081076350572	0	0.179914396394315	0	0.0248245688542289	0.0553631734268759	0	0.00682291097216016	0.00105603059503507	0.0415267618616914	0	0.0215115056862655	0.525966207653325	0	0.000708441720821889	0.0647287835892499	0	0	0	9999	0.196863824733043	1.02615171399631
TCGA.JY.A6FG	0	0	0.00456814060300353	0.103749003930751	0	0.0692684094991681	0	0.109449317859529	0.0452669210281287	0	0.0116084708445782	0.0248698501399609	0.0023099684021179	0.0611661453406531	0.00941039322003165	0.0505463741208234	0.0117306415742202	0.0508399305440155	0	0.406778188528603	0	0.0384382443644153	9999	-0.0106096183635152	1.1478031801657
TCGA.JY.A6FH	0.0180245099690763	0	0.00305360001947455	0	0.0429190680282631	0.450569694012448	0	0.0310104715102972	0.112633342318971	0	0.0690710778209874	0	0.0185757891415543	0.0433166270910524	0	0.012316886638159	0	0.0362166482613381	0	0.144627420260737	0.000432722555935991	0.0172321423717058	9999	0.0272081649281126	1.11123209862589
