"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PRELP",575.322614596615,-1.67689412009014,0.25843402573463,-6.48867390941793,8.65951610325951e-11,5.30972662398195e-08
"ADAMTSL1",147.110029066071,-1.76556757583982,0.272577941169207,-6.47729441445819,9.33818763606021e-11,5.49683077009048e-08
"CACNB2",73.6989904030464,-1.36782723742404,0.21213306979542,-6.44796796059741,1.13359720548354e-10,6.41616018303682e-08
"MIR143HG",313.518797086374,-1.43727817842533,0.225919595977373,-6.36190133134483,1.99271443018822e-10,1.08610316869074e-07
"NPTXR",425.032121347209,-1.60938892848198,0.253819443754172,-6.340684167761,2.28747045913816e-10,1.20222911702418e-07
"PSD",52.1716378073402,-1.45135916227212,0.22914342559477,-6.33384596789079,2.39124245306203e-10,1.21343185997451e-07
"JAM2",91.9289608701383,-1.24175250912591,0.196634038090284,-6.31504352545394,2.70085450582207e-10,1.32485916358925e-07
"SPARCL1",3394.43100771997,-1.17689728067249,0.187214858036414,-6.28634550172068,3.25026162294898e-10,1.54293064655862e-07
"APOD",656.007180972937,-1.92114731596504,0.307935425585484,-6.23879929472979,4.40942306430551e-10,2.0277834316975e-07
"FAM124B",25.7803277951281,-1.22170956148882,0.196776654595628,-6.20861028458587,5.34552027855409e-10,2.38377807330915e-07
"ADAM33",77.2001772522587,-1.49349860865801,0.242237293902847,-6.16543631492598,7.02890553047037e-10,3.04227569960006e-07
"EDM1",166.310142495462,-2.31517183805402,0.377061470225395,-6.140038218888,8.25016289045676e-10,3.46883991702748e-07
"AKAP6",158.659188810864,-1.19641387227015,0.19501821475077,-6.13488270210627,8.52220506158724e-10,3.48368804684216e-07
"THBS4",298.485416656811,-2.40493774393879,0.392600591022688,-6.12566001919189,9.03084568497136e-10,3.53709692415948e-07
"PLIN4",212.167954972212,-1.6911451558731,0.276506590017719,-6.1161115753687,9.58862021823378e-10,3.53709692415948e-07
"SMOC2",508.266322544671,-1.40853516155244,0.230315180018415,-6.11568530324325,9.6142890028798e-10,3.53709692415948e-07
"ABCC9",228.838055717247,-1.32434804451572,0.216307454876657,-6.12252612962826,9.21033064723697e-10,3.53709692415948e-07
"CLDN15",472.385543366749,1.51042967550942,0.247655805992845,6.09890678497989,1.06796321490175e-09,3.83320650499857e-07
"NEGR1",135.676737864538,-1.4391675132243,0.236313557883608,-6.09007594026043,1.1285714096695e-09,3.95429925349913e-07
"FILIP1",158.56114013518,-1.11954838374536,0.184178448532865,-6.07860687644781,1.21231168179218e-09,4.05463152483038e-07
"NFATC4",296.478801804399,-0.899608832905954,0.147977639759429,-6.07935654581645,1.20665779637864e-09,4.05463152483038e-07
"FAM110B",70.221282450718,-1.29273413306533,0.213437224686997,-6.05674167175433,1.38906389780513e-09,4.54254762668897e-07
"LRRN4CL",45.3018597681459,-1.07145690162917,0.177090086149707,-6.05034942906625,1.44531994160611e-09,4.62376701319033e-07
"CES2",3435.77135056772,1.18756566093718,0.196772211704001,6.03523053714314,1.58735904634352e-09,4.86657827624816e-07
"VSTM4",237.662027782165,-1.10018800402224,0.182288137133029,-6.03543390878666,1.58536106606992e-09,4.86657827624816e-07
"FGF7",206.134640335476,-1.46643561288697,0.243331535701351,-6.02649224507741,1.67556347850594e-09,5.03216166320272e-07
"MAP1L",517.80324620946,-1.04680479048308,0.173950289670393,-6.01783873120651,1.76761159086203e-09,5.20243443422514e-07
"NCAM1",123.95071459633,-1.82994394985585,0.304446476962816,-6.01072467026562,1.846958516572e-09,5.24585546836539e-07
"KCNK3",58.200774761566,-1.56207790730293,0.259907178282532,-6.01013760999274,1.85365917610084e-09,5.24585546836539e-07
"PGM5",262.145765050275,-1.84110982027945,0.307266444443559,-5.991900038462,2.07403404040258e-09,5.67190051306508e-07
"INMT",87.8551232819829,-1.22582787625597,0.204702180738803,-5.98834791027511,2.11983234723145e-09,5.67190051306508e-07
"IRAG",774.227876809744,-1.18616552643183,0.198053784713047,-5.98910810086474,2.10994893657685e-09,5.67190051306508e-07
"HSPB7",187.421787605672,-1.77930318811723,0.297500224151989,-5.98084654621373,2.21980923107718e-09,5.75062324556968e-07
"SYNM",1851.63886366846,-1.64883126297416,0.275710927562933,-5.98028985484373,2.2274091125134e-09,5.75062324556968e-07
"INHBB",334.71031266645,-1.32233599662945,0.221492211782396,-5.97012412304849,2.37073157350972e-09,6.01511824754638e-07
"KCNMA1",641.272319760817,-1.79544479419464,0.301278569988577,-5.95941753926513,2.53138556959683e-09,6.31387627833676e-07
"ABCA9",48.2064076223108,-1.63929488618841,0.27540225733658,-5.95236546730611,2.64294367555697e-09,6.37599329991744e-07
"TNFRSF13C",17.7881307599339,-1.23399785689419,0.207308634316112,-5.95246725234101,2.64129997185869e-09,6.37599329991744e-07
"LMO3",44.8807879748237,-1.68416937072425,0.283432231308588,-5.94205310718738,2.81474192233402e-09,6.6809261498496e-07
"MYLK",3809.8473601281,-1.31804812556967,0.221926036576701,-5.93913245106837,2.86534304067661e-09,6.69307748993604e-07
"ELN",962.874461834829,-1.42209890929357,0.240636333575442,-5.9097430889327,3.42641695226053e-09,7.87861747960406e-07
"C7",252.602050522785,-2.2968124605116,0.389668764533288,-5.89426884975636,3.76344004191848e-09,8.49231741382763e-07
"DFNB74",599.069424419044,-1.14373593843534,0.194107106908494,-5.89229295439718,3.80873164795205e-09,8.49231741382763e-07
"RCAN2",267.249181336342,-1.03360710708937,0.176241335144703,-5.86472581043901,4.49875478303049e-09,9.88114558016071e-07
"ZUP1",197.856411935069,0.40247773173918,0.0687744220627209,5.85214269590123,4.85279982858322e-09,1.04868458189161e-06
"ATG5",894.090925162625,0.338102751016941,0.0577957815891174,5.84995551095036,4.91704513118517e-09,1.04868458189161e-06
